АВС/ DEFОт;АВС/ DEFДо;Оператор;Регион
9011990000;9011999999;Ростелеком;Ярославская область
9012010000;9012019999;Уралвестком;Свердловская область
9012100000;9012109999;Уралвестком;Свердловская область
9012200000;9012209999;Уралвестком;Свердловская область
9012300000;9012309999;Уралвестком;Свердловская область
9012400000;9012419999;Енисейтелеком;Красноярский край
9012420000;9012439999;Астарта;Кировская область
9012500000;9012519999;АПЕКС;Челябинская область
9012520000;9012539999;АПЕКС;Челябинская область
9012600000;9012609999;Региональный технический центр;Ханты - Мансийский-Югра автономный округ |Тюменская область
9012610000;9012619999;Региональный технический центр;Ханты - Мансийский-Югра автономный округ |Тюменская область
9012620000;9012639999;Астарта;Омская область
9012650000;9012699999;Ростелеком;Пермский край
9012900000;9012909999;Ростелеком;Ивановская область
9012990000;9012999999;Ростелеком;Ярославская область
9013000000;9013899999;Дельта Телеком;Санкт - Петербург и Ленинградская область
9013900000;9013909999;Калининградские Мобильные Сети;Калининградская область
9013910000;9013999999;Дельта Телеком;Санкт - Петербург и Ленинградская область
9014000000;9014099999;Московская сотовая связь;Москва и Московская область
9014100000;9014109999;Удмурт.сот.сети-450;Ижевск |Удмуртская Республика
9014110000;9014119999;Кузбаск.сот. связь;Кемерово |Кемеровская область
9014120000;9014129999;Удмурт.сот.сети-450;Ижевск |Удмуртская Республика
9014130000;9014139999;Уралвестком;Свердловская область
9014140000;9014149999;Уралвестком;Свердловская область
9014150000;9014159999;Сот.св.Башкортостана;Уфа |Республика Башкортостан
9014160000;9014169999;Сот.св.Башкортостана;Уфа |Республика Башкортостан
9014180000;9014189999;Сот.св.Башкортостана;Уфа |Республика Башкортостан
9014190000;9014199999;Вятская сотовая связь;Киров |Калужская область
9014200000;9014299999;Московская сотовая связь;Москва и Московская область
9014400000;9014409999;Сот.св.Башкортостана;Российская Федерация
9014410000;9014419999;Сот.св.Башкортостана;Российская Федерация
9014420000;9014429999;Сот.св.Башкортостана;Российская Федерация
9014440000;9014449999;Астарта;Владимирская область
9014450000;9014454999;Астарта;Камчатский край
9014455000;9014459999;Астарта;Камчатский край
9014460000;9014469999;Астарта;Ростовская область
9014480000;9014489999;Мобильная сот.связь;Ставрополь |Ставропольский край
9014490000;9014499999;Астарта;Кировская область
9014500000;9014509999;Астарта;Новосибирская область
9014510000;9014519999;Астарта;Новосибирская область
9014520000;9014529999;Астарта;Новосибирская область
9014530000;9014539999;Уралвестком;Свердловская область
9014540000;9014549999;Уралвестком;Свердловская область
9014550000;9014559999;Удмурт.сот.сети-450;Ижевск |Удмуртская Республика
9014560000;9014569999;Астарта;Ростовская область
9014570000;9014579999;Удмурт.сот.сети-450;Ижевск |Удмуртская Республика
9014580000;9014589999;Астарта;Новосибирская область
9014590000;9014599999;Астарта;Новосибирская область
9014600000;9014609999;Астарта;Хабаровский край
9014610000;9014619999;Московская сотовая связь;Москва и Московская область
9014620000;9014629999;Астарта;Хабаровский край
9014630000;9014639999;Астарта;Хабаровский край
9014640000;9014649999;Московская сотовая связь;Москва и Московская область
9014650000;9014659999;Астарта;Хабаровский край
9014660000;9014669999;Астарта;Хабаровский край
9014670000;9014679999;Кузбаск.сот. связь;Кемерово |Кемеровская область
9014680000;9014689999;Мобильная сот.связь;Ставрополь |Ставропольский край
9014700000;9014709999;Московская сотовая связь;Москва и Московская область
9014710000;9014719999;Астарта;Кировская область
9014730000;9014739999;Сотел- сот. связь Чувашии;Ува |Увинский |Удмуртская Республика
9014740000;9014749999;Сотел- сот. связь Чувашии;Республика Марий Эл
9014750000;9014759999;Сот.св.Башкортостана;Уфа |Республика Башкортостан
9014760000;9014769999;Сот.св.Башкортостана;Уфа |Республика Башкортостан
9014780000;9014789999;Сот.св.Башкортостана;Уфа |Республика Башкортостан
9014790000;9014799999;Астарта;Кировская область
9014800000;9014809999;Ростелеком;Костромская область
9014810000;9014819999;Астарта;Рязанская область
9014820000;9014829999;Ростелеком;Ивановская область
9014830000;9014839999;Ростелеком;Ивановская область
9014840000;9014849999;Ростелеком;Костромская область
9014850000;9014859999;Ростелеком;Ярославская область
9014860000;9014869999;Ростелеком;Ярославская область
9014870000;9014879999;Астарта;Тверская область
9014880000;9014889999;Астарта;Тверская область
9014890000;9014919999;Астарта;Краснодарский край
9014920000;9014939999;Астарта;Краснодарский край
9014940000;9014949999;Каб-Балкар. сотовая связь;Российская Федерация
9014960000;9014969999;Астарта;Ростовская область
9014970000;9014979999;Астарта;Республика Северная Осетия - Алания
9014980000;9014989999;Мобильная сот.связь;Ставрополь |Ставропольский край
9015000000;9015999999;Московская сотовая связь;Москва и Московская область
9016000000;9016009999;Ростелеком;Республика Хакасия
9016070000;9016099999;Ростелеком;Томская область
9016100000;9016129999;Ростелеком;Томская область
9016130000;9016149999;Ростелеком;Томская область
9016150000;9016169999;Скай Линк;Кемеровская область
9016170000;9016189999;Ростелеком;Томская область
9016190000;9016199999;Скай Линк;Кемеровская область
9016200000;9016209999;Горно-Алтайская Сотовая Связь;Республика Алтай
9016210000;9016219999;Енисейтелеком;Красноярский край
9016230000;9016259999;Енисейтелеком;Красноярский край
9016290000;9016299999;Скай Линк;Кемеровская область
9016300000;9016344999;Байкалвестком;Иркутская область
9016350000;9016359999;Астарта;Калужская область
9016400000;9016419999;Байкалвестком;Иркутская область
9016420000;9016424999;Астарта;Алтайский край
9016440000;9016449999;Скай Линк;Кемеровская область
9016450000;9016459999;Астарта;Алтайский край
9016460000;9016469999;Енисейтелеком;Красноярский край
9016470000;9016479999;Енисейтелеком;Красноярский край
9016500000;9016549999;Байкалвестком;Иркутская область
9016550000;9016749999;Байкалвестком;Иркутская область
9017000000;9017999999;Московская сотовая связь;Москва и Московская область
9018000000;9018009999;Астарта;Нижегородская область
9018010000;9018019999;Астарта;Нижегородская область
9018020000;9018039999;Ростелеком;Самарская область
9018040000;9018079999;Саратовская система сотовой связи.;Саратовская область
9018080000;9018089999;Сотовая Телефонная Связь;Республика Татарстан (Татарстан)
9018100000;9018109999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018110000;9018119999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018120000;9018129999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018130000;9018139999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018140000;9018149999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018150000;9018159999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018160000;9018169999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018170000;9018179999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018180000;9018189999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018190000;9018199999;Сот.св.Башкортостана;Коста |Ардонский |Республика Северная Осетия - Алания
9018200000;9018219999;Саратовская система сотовой связи.;Саратовская область
9018220000;9018229999;Скай Линк;Оренбургская область
9018470000;9018479999;Астарта;Ульяновская область
9018600000;9018699999;Астарта;Удмуртская Республика
9018700000;9018709999;Астарта;Нижегородская область
9018710000;9018719999;Астарта;Нижегородская область
9018880000;9018889999;Астарта;Владимирская область
9019000000;9019099999;Московская сотовая связь;Москва и Московская область
9019110000;9019119999;Енисейтелеком;Красноярский край
9019160000;9019169999;Кузбаск.сот. связь;Кемерово |Кемеровская область
9019230000;9019239999;СОТЕЛ-Читинск.Сот.Связь;Агинский Бурятский автономный округ (Читинская область) |Забайкальский край
9019240000;9019249999;Северо-восточные Телекоммуникации;Якутск |Республика Саха (Якутия)
9019290000;9019299999;Скай Линк;Кемеровская область
9019300000;9019309999;Астарта;Хабаровский край
9019320000;9019329999;Сотовая Связь Биробиджана;Ейск |Краснодарский край
9019330000;9019339999;Астарта;Камчатский край
